ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
2,3,10000K,Normal,[0.37376998;1.0;1.0],[0.26071125;1.0;1.0]
2,2,10000K,Normal,[0.02899269;1.0;1.0],[0.98390389;1.0;1.0]
2,1,10000K,Normal,[0.73185200;1.0;1.0],[0.61458288;1.0;1.0]
2,2,10000K,High,[0.00806988;1.0;1.0],[0.98741330;1.0;1.0]
2,3,10000K,High,[0.36802098;1.0;1.0],[0.24888893;1.0;1.0]
2,1,10000K,High,[0.72684971;1.0;1.0],[0.61481483;1.0;1.0]
2,2,10000K,Low,[0.01663378;1.0;1.0],[0.98723480;1.0;1.0]
2,3,10000K,Low,[0.34073372;1.0;1.0],[0.24338648;1.0;1.0]
2,1,10000K,Low,[0.72654363;1.0;1.0],[0.62147832;1.0;1.0]
2,2,4000K,Normal,[0.01958584;1.0;1.0],[0.96000020;1.0;1.0]
2,1,4000K,Normal,[0.70120510;1.0;1.0],[0.65374054;1.0;1.0]
2,3,4000K,Normal,[0.36669098;1.0;1.0],[0.27596616;1.0;1.0]
2,3,4000K,High,[0.36385465;1.0;1.0],[0.28370383;1.0;1.0]
2,2,4000K,High,[0.04034696;1.0;1.0],[0.97581424;1.0;1.0]
2,1,4000K,High,[0.69629660;1.0;1.0],[0.63809314;1.0;1.0]
2,3,4000K,Low,[0.37247274;1.0;1.0],[0.30825496;1.0;1.0]
2,2,4000K,Low,[0.02754031;1.0;1.0],[0.97875807;1.0;1.0]
2,1,4000K,Low,[0.70549698;1.0;1.0],[0.63353336;1.0;1.0]
2,2,7000K,Normal,[0.03280650;1.0;1.0],[0.98296293;1.0;1.0]
2,3,7000K,Normal,[0.38066547;1.0;1.0],[0.24327535;1.0;1.0]
2,1,7000K,Normal,[0.71481507;1.0;1.0],[0.62096285;1.0;1.0]
3,1,7000K,Low,[0.70704224;1.0;1.0],[0.60705928;1.0;1.0]
3,2,7000K,Low,[0.02173120;1.0;1.0],[0.98036303;1.0;1.0]
3,3,7000K,Low,[0.35830627;1.0;1.0],[0.27807427;1.0;1.0]
3,3,10000K,Normal,[0.35786994;1.0;1.0],[0.24984193;1.0;1.0]
3,2,10000K,Normal,[0.00945429;1.0;1.0],[0.99368741;1.0;1.0]
3,1,10000K,Normal,[0.72459632;1.0;1.0],[0.63572760;1.0;1.0]
3,2,10000K,High,[0.05020324;1.0;1.0],[0.98666653;1.0;1.0]
3,3,10000K,High,[0.36453355;1.0;1.0],[0.24037550;1.0;1.0]
3,1,10000K,High,[0.69585339;1.0;1.0],[0.65280181;1.0;1.0]
3,2,10000K,Low,[0.00378951;1.0;1.0],[0.99044009;1.0;1.0]
3,1,10000K,Low,[0.69801175;1.0;1.0],[0.65407079;1.0;1.0]
3,3,10000K,Low,[0.35616006;1.0;1.0],[0.30436544;1.0;1.0]
3,3,4000K,Normal,[0.35639995;1.0;1.0],[0.29560090;1.0;1.0]
3,1,4000K,Normal,[0.69458990;1.0;1.0],[0.65927814;1.0;1.0]
3,2,4000K,Normal,[0.01745101;1.0;1.0],[0.98165734;1.0;1.0]
3,3,4000K,High,[0.38578339;1.0;1.0],[0.27085921;1.0;1.0]
3,1,4000K,High,[0.68335949;1.0;1.0],[0.62096770;1.0;1.0]
3,2,4000K,High,[0.01532133;1.0;1.0],[0.98423190;1.0;1.0]
3,2,4000K,Low,[0.01736585;1.0;1.0],[0.98353979;1.0;1.0]
3,3,4000K,Low,[0.36599931;1.0;1.0],[0.28692792;1.0;1.0]
3,1,4000K,Low,[0.68812252;1.0;1.0],[0.63928744;1.0;1.0]
3,3,7000K,Normal,[0.36119258;1.0;1.0],[0.26380596;1.0;1.0]
3,2,7000K,Normal,[0.02710265;1.0;1.0],[0.97873704;1.0;1.0]
3,1,7000K,Normal,[0.71124196;1.0;1.0],[0.63875863;1.0;1.0]
3,3,7000K,High,[0.35650717;1.0;1.0],[0.27417443;1.0;1.0]
3,1,7000K,High,[0.70962993;1.0;1.0],[0.63003755;1.0;1.0]
3,2,7000K,High,[0.01332364;1.0;1.0],[0.99322169;1.0;1.0]
